SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Fuel Source - Primary,SCADAVALUE,MAX_CAP,utilisation_pct,REGION_RRP,Latitude,Longitude,Plant
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Dulacca Wind Farm (DULAWF1),Dulacca Wind Farm,DULAWF1,QLD1,Dulacca Energy Project Co Pty Ltd,Wind,24.0,173.0,13.87,42.99,-26.63,149.87,Dulacca Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Dundonnell Wind Farm (DUNDWF1),Dundonnell Wind Farm,DUNDWF1,VIC1,Dundonnell Wind Farm Pty Ltd,Wind,84.54,168.0,50.32,-1.0997,-37.52,142.58,Dundonnell Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Dundonnell Wind Farm (DUNDWF2),Dundonnell Wind Farm,DUNDWF2,VIC1,Dundonnell Wind Farm Pty Ltd,Wind,23.19,46.0,50.41,-1.0997,-37.52,142.58,Dundonnell Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Dundonnell Wind Farm (DUNDWF3),Dundonnell Wind Farm,DUNDWF3,VIC1,Dundonnell Wind Farm Pty Ltd,Wind,61.45,122.0,50.37,-1.0997,-37.52,142.58,Dundonnell Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Elaine Wind Farm (ELAINWF1),Elaine Wind Farm,ELAINWF1,VIC1,Lal Lal Wind Farms Nom Co Pty Ltd,Wind,63.13,82.0,76.99,-1.0997,-37.36,144.0,Elaine Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Flyers Creek Wind Farm (FLYCRKWF),Flyers Creek Wind Farm,FLYCRKWF,NSW1,Iberdrola Australia Energy Markets Pty Limited,Wind,14.61,140.0,10.44,51.95,-33.365556,148.981944,Flyers Creek Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Golden Plains Wind Farm East (GPWFEST1),Golden Plains Wind Farm East,GPWFEST1,VIC1,Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Wind,218.11,240.0,90.88,-1.0997,-37.945091,143.752614,Golden Plains Wind Farm East
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Golden Plains Wind Farm East (GPWFEST2),Golden Plains Wind Farm East,GPWFEST2,VIC1,Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Wind,219.71,253.0,86.84,-1.0997,-37.945091,143.752614,Golden Plains Wind Farm East
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Golden Plains Wind Farm East (GPWFEST3),Golden Plains Wind Farm East,GPWFEST3,VIC1,Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Wind,219.17,240.0,91.32,-1.0997,-37.945091,143.752614,Golden Plains Wind Farm East
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Granville Harbour Wind Farm (GRANWF1),Granville Harbour Wind Farm,GRANWF1,TAS1,Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Wind,81.08,111.0,73.05,20.11158,-41.8,145.06,Granville Harbour Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Goyder South Wind Farm 1A (GSWF1A),Goyder South Wind Farm 1A,GSWF1A,SA1,Goyder Wind Farm 1 Pty Ltd as the Trustee for Goyder Wind Farm 1 Trust,Wind,152.25,201.0,75.75,119.66,-33.679758,138.937597,Goyder South Wind Farm 1A
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Goyder South Wind Farm 1B (GSWF1B1),Goyder South Wind Farm 1B,GSWF1B1,SA1,Goyder Wind Farm 1B Pty Ltd as the Trustee for the Goyder Wind Farm 1B Trust,Wind,72.64,196.0,37.06,119.66,-33.679758,138.937597,Goyder South Wind Farm 1B
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Gullen Range Wind Farm (GULLRWF1),Gullen Range Wind Farm,GULLRWF1,NSW1,New Gullen Range Wind Farm Pty Ltd,Wind,123.04,161.0,76.42,51.95,-34.34,149.27,Gullen Range Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Gullen Range Wind Farm (GULLRWF2),Gullen Range Wind Farm,GULLRWF2,NSW1,New Gullen Range Wind Farm Pty Ltd,Wind,88.32,107.0,82.54,51.95,-34.34,149.27,Gullen Range Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Gunning Wind Farm (GUNNING1),Gunning Wind Farm,GUNNING1,NSW1,Gunning Wind Energy Developments Pty Ltd,Wind,38.33,47.0,81.55,51.95,-34.813333,149.4,Gunning Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hallett 1 Wind Farm (HALLWF1),Hallett 1 Wind Farm,HALLWF1,SA1,AGL SA Generation Pty Limited,Wind,50.0,95.0,52.63,119.66,-33.367778,138.728611,Hallett 1 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hallett 2 Wind Farm (HALLWF2),Hallett 2 Wind Farm,HALLWF2,SA1,AGL SA Generation Pty Limited,Wind,20.41,71.0,28.75,119.66,-33.367778,138.728611,Hallett 2 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hawkesdale Wind Farm (HD1WF1),Hawkesdale Wind Farm,HD1WF1,VIC1,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,Wind,85.62,89.0,96.2,-1.0997,-38.147894,142.361381,Hawkesdale Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hornsdale Wind Farm (HDWF1),Hornsdale Wind Farm,HDWF1,SA1,HWF1 Pty Ltd,Wind,36.4,102.0,35.69,119.66,-33.050556,138.543611,Hornsdale Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hornsdale Wind Farm 2 (HDWF2),Hornsdale Wind Farm 2,HDWF2,SA1,HWF 2 Pty Ltd,Wind,26.6,102.0,26.08,119.66,-33.06,138.54,Hornsdale Wind Farm 2
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Hornsdale Wind Farm 3 (HDWF3),Hornsdale Wind Farm 3,HDWF3,SA1,HWF3 Pty Ltd,Wind,34.4,109.0,31.56,119.66,-33.06,138.54,Hornsdale Wind Farm 3
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Kaban Wind Farm (KABANWF1),Kaban Wind Farm,KABANWF1,QLD1,Kaban Wind Farm Pty Ltd as trustee for Kaban Wind Farm Trust,Wind,43.62,152.0,28.7,42.99,-17.56,145.41,Kaban Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Kennedy Energy Park (KEPWF1),Kennedy Energy Park,KEPWF1,QLD1,Kennedy Energy Park Pty Ltd,Wind,0.3,43.0,0.7,42.99,-20.88,144.42,Kennedy Energy Park
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Kiata Wind Farm (KIATAWF1),Kiata Wind Farm,KIATAWF1,VIC1,Kiata ProjectCo Pty Ltd Atf Kiata Project Trust,Wind,28.5,31.0,91.94,-1.0997,-36.4,141.75,Kiata Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lincoln Gap Wind Farm (LGAPWF1),Lincoln Gap Wind Farm,LGAPWF1,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Wind,15.01,123.0,12.2,119.66,-32.564279,137.557328,Lincoln Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lincoln Gap Wind Farm (LGAPWF1),Lincoln Gap Wind Farm,LGAPWF1,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Wind,15.01,123.0,12.2,119.66,-32.564279,137.557328,Lincoln Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lincoln Gap Wind Farm (LGAPWF2),Lincoln Gap Wind Farm,LGAPWF2,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Wind,9.33,85.0,10.98,119.66,-32.564279,137.557328,Lincoln Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lincoln Gap Wind Farm (LGAPWF2),Lincoln Gap Wind Farm,LGAPWF2,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Wind,9.33,85.0,10.98,119.66,-32.564279,137.557328,Lincoln Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lake Bonney Wind Farm Stage 1 (LKBONNY1),Lake Bonney Wind Farm Stage 1,LKBONNY1,SA1,Lake Bonney Wind Power Pty Ltd,Wind,56.35,81.0,69.57,119.66,-37.76,140.4,Lake Bonney Wind Farm Stage 1
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lake Bonney Stage 2 Windfarm (LKBONNY2),Lake Bonney Stage 2 Windfarm,LKBONNY2,SA1,Lake Bonney Wind Power Pty Ltd,Wind,119.58,159.0,75.21,119.66,-37.76,140.4,Lake Bonney Stage 2 Windfarm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Lake Bonney Stage 3 Wind Farm (LKBONNY3),Lake Bonney Stage 3 Wind Farm,LKBONNY3,SA1,Lake Bonney Wind Power Pty Ltd,Wind,25.57,39.0,65.56,119.66,-37.737781,140.388137,Lake Bonney Stage 3 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Macarthur Wind Farm (MACARTH1),Macarthur Wind Farm,MACARTH1,VIC1,AGL Hydro Partnership,Wind,176.6,420.0,42.05,-1.0997,-38.048957,142.192112,Macarthur Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,MacIntyre Wind Farm (MCINTYR1),MacIntyre Wind Farm,MCINTYR1,QLD1,MacIntyre UJV Operator Pty Ltd,Wind,28.3,890.0,3.18,42.99,-28.32,151.54,MacIntyre Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mt Mercer Wind Farm (MERCER01),Mt Mercer Wind Farm,MERCER01,VIC1,Mt Mercer Windfarm Pty Ltd,Wind,100.0,131.0,76.34,-1.0997,-37.841111,143.871111,Mt Mercer Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mount Emerald Wind Farm (MEWF1),Mount Emerald Wind Farm,MEWF1,QLD1,Ergon Energy Queensland Pty Ltd ,Wind,101.22,178.0,56.87,42.99,-17.133007,145.380644,Mount Emerald Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mortlake South Wind Farm (MRTLSWF1),Mortlake South Wind Farm,MRTLSWF1,VIC1,Mortlake South Wind Farm Pty Ltd,Wind,98.29,153.0,64.24,-1.0997,-38.127337,142.857801,Mortlake South Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mt Gellibrand Wind Farm (MTGELWF1),Mt Gellibrand Wind Farm,MTGELWF1,VIC1,Mt. Gellibrand Wind Farm Pty Ltd,Wind,96.35,132.0,72.99,-1.0997,-38.23,143.77,Mt Gellibrand Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mt Millar Wind Farm (MTMILLAR),Mt Millar Wind Farm,MTMILLAR,SA1,Mt Millar Wind Farm Pty Ltd,Wind,16.8,70.0,24.0,119.66,-33.624444,136.703611,Mt Millar Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Musselroe Wind Farm (MUSSELR1),Musselroe Wind Farm,MUSSELR1,TAS1,Hydro-Electric Corporation,Wind,100.8,168.0,60.0,20.11158,-40.780225,148.010799,Musselroe Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Murra Warra Wind Farm (MUWAWF1),Murra Warra Wind Farm,MUWAWF1,VIC1,Telstra Energy (Generation) Pty Ltd,Wind,96.28,225.7,42.66,-1.0997,-36.432404,142.317853,Murra Warra Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Murra Warra Wind Farm Stage 2 (MUWAWF2),Murra Warra Wind Farm Stage 2,MUWAWF2,VIC1,Murra Warra II Project Co Pty Ltd ATF The Murra Warra II Project Trust,Wind,54.6,203.0,26.9,-1.0997,-36.43,142.32,Murra Warra Wind Farm Stage 2
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,North Brown Hill Wind Farm (NBHWF1),North Brown Hill Wind Farm,NBHWF1,SA1,AGL SA Generation Pty Limited,Wind,34.7,132.0,26.29,119.66,-33.367778,138.728611,North Brown Hill Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Oaklands Hill Wind Farm (OAKLAND1),Oaklands Hill Wind Farm,OAKLAND1,VIC1,AGL Hydro Partnership,Wind,29.0,63.0,46.03,-1.0997,-37.683078,142.551678,Oaklands Hill Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Port Augusta Renewable Energy Park (PAREPW1),Port Augusta Renewable Energy Park,PAREPW1,SA1,Iberdrola Australia Energy Markets Pty Limited,Wind,0.0,201.0,0.0,119.66,-32.566944,137.856111,Port Augusta Renewable Energy Park
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Ryan Corner Wind Farm (RYANCWF1),Ryan Corner Wind Farm,RYANCWF1,VIC1,Ryan Corner Development Pty Ltd,Wind,134.53,205.0,65.62,-1.0997,-38.271017,142.140647,Ryan Corner Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Rye Park Renewable Energy (RYEPARK1),Rye Park Renewable Energy,RYEPARK1,NSW1,Rye Park Renewable Energy Pty Ltd as trustee for Rye Park Wind Farm Trust,Wind,160.62,384.0,41.83,51.95,-32.138333,148.972778,Rye Park Renewable Energy
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Salt Creek Wind Farm (SALTCRK1),Salt Creek Wind Farm,SALTCRK1,VIC1,Salt Creek Wind Farm Pty Ltd,Wind,46.24,54.0,85.63,-1.0997,-37.95,142.63,Salt Creek Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Sapphire Wind Farm (SAPHWF1),Sapphire Wind Farm,SAPHWF1,NSW1,The Trustee For The SWF1 Operations Trust,Wind,24.42,270.0,9.04,51.95,-29.7,151.41,Sapphire Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Snowtown Wind Farm Stage 2 North (SNOWNTH1),Snowtown Wind Farm Stage 2 North,SNOWNTH1,SA1,Snowtown Wind Farm Stage 2 Pty Ltd,Wind,17.2,144.0,11.94,119.66,-33.83,138.118611,Snowtown Wind Farm Stage 2 North
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Snowtown South Wind Farm (SNOWSTH1),Snowtown South Wind Farm,SNOWSTH1,SA1,Snowtown Wind Farm Stage 2 Pty Ltd,Wind,37.6,126.0,29.84,119.66,-33.83,138.118611,Snowtown South Wind Farm
